M,cuBLAS,Triton
256.0,29.1,32.8
384.0,28.1,53.6
512.0,51.2,51.8
640.0,56.1,68.3
768.0,61.3,67.1
896.0,57.1,67.7
1024.0,63.4,70.1
1152.0,62.4,68.2
1280.0,69.6,67.6
1408.0,64.8,68.7
1536.0,67.6,67.0
1664.0,66.0,69.3
1792.0,68.8,68.8
1920.0,70.6,69.8
2048.0,71.4,69.8
2176.0,69.6,69.3
2304.0,71.1,69.3
2432.0,69.8,69.7
2560.0,70.5,69.6
2688.0,69.2,69.7
2816.0,71.3,70.1
2944.0,68.3,70.1
3072.0,71.0,70.4
3200.0,68.3,70.0
3328.0,72.0,70.0
3456.0,67.1,69.9
3584.0,71.7,70.3
3712.0,66.0,70.3
3840.0,71.5,70.9
3968.0,66.8,70.4
4096.0,71.4,70.5
