M,cuBLAS,Triton
256.0,5.5,4.7
384.0,13.8,12.5
512.0,26.2,26.2
640.0,23.5,30.1
768.0,46.6,46.6
896.0,39.2,43.9
1024.0,52.4,48.5
1152.0,65.1,58.4
1280.0,69.4,56.1
1408.0,47.8,57.4
1536.0,64.5,54.9
1664.0,51.4,52.6
1792.0,64.6,57.3
1920.0,64.9,55.1
2048.0,63.6,57.1
2176.0,65.5,56.4
2304.0,73.2,57.3
2432.0,55.1,54.6
2560.0,69.9,55.0
2688.0,63.9,55.1
2816.0,68.7,55.1
2944.0,68.4,55.9
3072.0,65.8,55.4
3200.0,64.9,56.4
3328.0,65.0,53.8
3456.0,68.1,54.5
3584.0,68.4,54.6
3712.0,62.9,54.2
3840.0,66.2,53.7
3968.0,60.9,54.4
4096.0,64.8,54.4
